,MMP,X,Y,Z,Yeo7,YeoDesc7,Yeo17,YeoDesc17
202,R_MT_ROI,45.65472412109375,-72.52074432373047,5.399730682373047,1.0,Visual,1.0,Visual_1
203,R_A1_ROI,42.86222457885742,-24.463035583496094,9.010104179382324,2.0,Somatomotor,4.0,Somatomotor_2
204,R_PSL_ROI,60.61813735961914,-38.48481750488281,20.737060546875,4.0,VentralAttention,7.0,Salience_1
205,R_SFL_ROI,9.085042953491211,15.34901237487793,61.55561065673828,7.0,Default,17.0,DMN_4
206,R_PCV_ROI,7.856561660766602,-52.77616882324219,48.92934036254883,3.0,DorsalAttention,11.0,CentralExecutive_1
207,R_STV_ROI,55.96863555908203,-41.806190490722656,15.648341178894043,4.0,VentralAttention,14.0,DMN_1
208,R_7Pm_ROI,7.21102237701416,-66.11422729492188,48.562294006347656,6.0,Frontoparietal,11.0,CentralExecutive_1
209,R_7m_ROI,6.868125915527344,-60.59658432006836,35.07878494262695,7.0,Default,16.0,DMN_3
210,R_POS1_ROI,11.680673599243164,-56.40385055541992,15.615166664123535,7.0,Default,15.0,DMN_2
211,R_23d_ROI,4.821904182434082,-22.41567611694336,37.94583511352539,7.0,Default,16.0,DMN_3
212,R_v23ab_ROI,6.377841472625732,-52.99008560180664,19.0791015625,7.0,Default,16.0,DMN_3
213,R_d23ab_ROI,5.196383953094482,-38.922706604003906,32.01347351074219,7.0,Default,16.0,DMN_3
214,R_31pv_ROI,10.211549758911133,-44.2144660949707,32.79252243041992,7.0,Default,16.0,DMN_3
215,R_5m_ROI,6.301719665527344,-37.53634262084961,64.07495880126953,2.0,Somatomotor,3.0,Somatomotor_1
216,R_5mv_ROI,14.131072998046875,-39.1678466796875,51.622589111328125,4.0,VentralAttention,7.0,Salience_1
217,R_23c_ROI,12.319948196411133,-33.00742721557617,40.84974670410156,4.0,VentralAttention,7.0,Salience_1
218,R_5L_ROI,12.623101234436035,-43.82102966308594,69.58583068847656,2.0,Somatomotor,3.0,Somatomotor_1
219,R_24dd_ROI,8.915975570678711,-17.36826515197754,50.71137237548828,2.0,Somatomotor,3.0,Somatomotor_1
220,R_24dv_ROI,11.674341201782227,-4.848774433135986,45.11301040649414,2.0,Somatomotor,3.0,Somatomotor_1
221,R_7AL_ROI,18.971397399902344,-51.130760192871094,62.30957794189453,3.0,DorsalAttention,6.0,Attention_2
222,R_SCEF_ROI,8.289198875427246,3.6832332611083984,57.06341552734375,4.0,VentralAttention,7.0,Salience_1
223,R_6ma_ROI,17.564041137695312,4.624337673187256,62.5711555480957,4.0,VentralAttention,7.0,Salience_1
224,R_7Am_ROI,8.856369972229004,-58.33050537109375,59.37065887451172,3.0,DorsalAttention,6.0,Attention_2
225,R_7PL_ROI,13.122223854064941,-70.54830932617188,52.028228759765625,3.0,DorsalAttention,5.0,Attention_1
226,R_7PC_ROI,32.12914276123047,-48.33869552612305,58.99978256225586,3.0,DorsalAttention,6.0,Attention_2
227,R_LIPv_ROI,26.874874114990234,-55.51301193237305,51.46546173095703,3.0,DorsalAttention,5.0,Attention_1
228,R_VIP_ROI,18.358463287353516,-60.97200393676758,58.89562225341797,3.0,DorsalAttention,5.0,Attention_1
229,R_MIP_ROI,23.985183715820312,-62.96554183959961,45.189781188964844,3.0,DorsalAttention,5.0,Attention_1
